Genre,Demo,Geo,Medium,Publisher,Platform,Section,Ad Unit,Deal Type,Targeting,Est Imp,CTR,Est Clicks,VTR,Est Video Views,eCPM ,eCPC ,Net Unit Cost,Total Net Cost,% Allocation,Duplication,Reach,Effective Reach,Audience Pool,% Reach,Avg. Freq,Start Date,End Date,Days,Reach T,Freq,Imp F,Budget T,Unnamed: 36,PG possibility,DV CPM,Total_Days,Campaign Name,Phase/inputs
Entertainment,25-44,Thane & Nagpur,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1566341.4935271242,0.004,6265.365974108497,0.85,1331390.2694980556,59.99999999999999,15.0,60.0,93980.48961162745,0.008090494262283381,0.9,783170.7467635621,78317.07467635619,1957926.866908905,0.4,2.0,2024-07-02,2024-07-09,8.0,978963.4334544525,2.0,1957926.866908905,117475.61201453432,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Ahemdabad, Gandhinagar, Surat, Vadodara",Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1330422.3925771017,0.004,5321.689570308407,0.35,465647.83740198554,104.99999999999999,26.249999999999993,0.3,139694.35122059565,0.012025861449478962,0.8,886948.2617180678,177389.65234361353,2217370.6542951693,0.4,1.5,2024-07-02,2024-07-09,8.0,886948.2617180678,1.5,1330422.3925771017,139694.35122059568,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Ahemdabad, Gandhinagar, Surat, Vadodara",Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1773896.5234361356,0.004,7095.586093744542,0.85,1507812.0449207153,60.0,15.0,60.0,106433.79140616814,0.009162561104364926,0.9,886948.2617180678,88694.82617180677,2217370.6542951693,0.4,2.0,2024-07-02,2024-07-09,8.0,1108685.3271475846,2.0,2217370.6542951693,133042.23925771017,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Bhubaneswar, Lucknow",Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44| Affinity - Shoppers, Light TV Viewers",921579.6000000001,0.004,3686.3184000000006,0.35,322552.86,104.99999999999997,26.249999999999993,0.3,96765.858,0.008330278147828126,0.8,614386.4,122877.27999999998,1535966.0,0.4,1.5,2024-07-02,2024-07-09,8.0,614386.4,1.5,921579.6000000001,96765.85800000002,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Bhubaneswar, Lucknow",Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1228772.8,0.004,4915.0912,0.85,1044456.88,60.0,15.000000000000002,60.0,73726.368,0.00634687858882143,0.9,614386.4,61438.63999999999,1535966.0,0.4,2.0,2024-07-02,2024-07-09,8.0,767983.0,2.0,1535966.0,92157.96,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Chandigarh,Jaipur",Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44| Affinity - Shoppers, Light TV Viewers",933617.4602090307,0.004,3734.469840836123,0.35,326766.1110731607,104.99999999999999,26.249999999999996,0.3,98029.83332194822,0.008439089935595454,0.8,622411.6401393538,124482.32802787074,1556029.1003483846,0.4,1.5,2024-07-02,2024-07-09,8.0,622411.6401393538,1.5,933617.4602090307,98029.83332194822,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Chandigarh,Jaipur",Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1244823.2802787076,0.004,4979.293121114831,0.85,1058099.7882369014,59.99999999999999,14.999999999999998,60.0,74689.39681672245,0.006429782808072727,0.9,622411.6401393538,62241.16401393537,1556029.1003483846,0.4,2.0,2024-07-02,2024-07-09,8.0,778014.5501741923,2.0,1556029.1003483846,93361.74602090308,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Indore,Patna",Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",954000.0,0.004,3816.0,0.35,333900.0,105.0,26.25,0.3,100170.0,0.008623330369973503,0.8,636000.0,127199.99999999997,1590000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,636000.0,1.5,954000.0,100170.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Indore,Patna",Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1272000.0,0.004,5088.0,0.85,1081200.0,60.0,15.0,60.0,76320.0,0.006570156472360765,0.9,636000.0,63599.999999999985,1590000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,795000.0,2.0,1590000.0,95400.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Coimbatore, Vizag",Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",429493.19999999995,0.004,1717.9727999999998,0.35,150322.61999999997,104.99999999999999,26.249999999999996,0.3,45096.785999999986,0.0038822450264749506,0.8,286328.8,57265.75999999999,715822.0,0.4,1.5,2024-07-02,2024-07-09,8.0,286328.8,1.5,429493.19999999995,45096.78599999999,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,"Coimbatore, Vizag",Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",572657.6,0.004,2290.6304,0.85,486758.95999999996,60.0,15.0,60.0,34359.456,0.002957900972552344,0.9,286328.8,28632.879999999994,715822.0,0.4,2.0,2024-07-02,2024-07-09,8.0,357911.0,2.0,715822.0,42949.32,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
