Date,day,geocity,cyplannedimpressions24,lyplannedimpressions,cydeliveredimpressions24,lydeliveredimpressions,deliveredimpressionpercent,lydeliveredimpressionpercent,deliveredimpressionsvsly,cyplannedviews24,lyplannedviews,cydeliveredviews24,lydeliveredviews,deliveredviewspercent,lydeliveredviewspercent,deliveredviewsvsly,plannedctr,lyplannedctr,deliveredctr,lydeliveredctr,deliveredctrpercent,lydeliveredctrpercent,deliveredctrvsly,plannedvtr,lyplannedvtr,deliveredvtr,lydeliveredvtr,deliveredvtrpercent,lydeliveredvtrpercent,deliveredvtrvsly,cyplannedclicks24,lyplannedclicks,cydeliveredclicks24,lydeliveredclicks,deliveredclickspercent,lydeliveredclickspercent,deliveredclicksvsly,cyplannedspends24,lyplannedspends,cydeliveredspends24,lydeliveredspends,deliveredspendspercent,lydeliveredspendspercent,deliveredspendsvsly
2024-07-02,T-18,Thane & Nagpur,137054.88,,489465.0,,3.5713066003820626,,,87127.73999999999,,362163.0,,4.156689669860448,,,0.0039999999999999905,,0.005448806349790077,,1.3622015874475224,,,0.6357142857142855,,0.7399160307682878,,1.1639128573883184,,,548.22,,2667.0,,4.86483952030226,,,10866.490000000002,,27194.949999999997,,2.502642046675291,,
2024-07-02,T-18,C1,135000.0,,70783.0,,0.5243185185185185,,,114750.0,,61530.0,,0.5362091503267974,,,0.01,,0.029413842306768575,,2.9413842306768574,,,0.85,,0.8692765211985929,,1.0226782602336386,,,1350.0,,2082.0,,1.5422222222222222,,,16200.0,,8493.96,,0.5243185185185185,,
2024-07-03,T-17,AP + TG C2,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,"Ahemdabad, Gandhinagar, Surat, Vadodara",421300.42000000004,577125.0,1016606.0,885782.0,2.413019169516165,2.7241682146579686e-06,0.6360572264232445,267826.69,234900.0,812200.0,537921.0,3.03255801273429,2.29,0.7551380683844638,0.00400000000000001,0.007078947368421053,0.004730446210232873,0.004939138523925752,,0.6977221706660913,,0.6357142857142853,0.4070175438596491,0.7989329199316156,0.607283733469409,0.7601185510310293,1.4920333106791515,,1685.2,4085.4375,4809.0,4375.0,2.8536643464142473,1.0708767420869858,0.3752637353557677,33403.11,50574.375,36959.880000000005,76873.039712,1.1064804402970545,1.5199997965768237,1.3737249581824984
2024-07-03,T-17,Bangalore,959441.05,,1398517.0,,1.5039520644547237,,0.0,650632.03,,1159589.0,,1.8538071289730256,,0.0,0.003827513082499471,,0.004594152234116568,,,,,0.6726757680358287,,0.8291561704291045,,,,,3647.82,,6425.0,,1.8051890582714547,,0.0,106207.33,,112279.99,,1.052070874888252,,0.0
2024-07-03,T-17,Bharuch,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Bhopal,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Bhubaneswar,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Chandigarh,,210900.0,,355148.0,,0.7369171313707691,,,85840.00000000001,,205040.0,,2.388630009319664,,,0.007078947368421053,,0.0057074796986045255,,0.8062610726653233,,,0.40701754385964917,,0.5773367722752205,,1.418456724986533,,,1492.95,,2027.0,,1.3577145919153353,,,18481.5,,29452.464841,,1.5936187452858264,
2024-07-03,T-17,Chennai,445436.47,,596629.0,,1.4209222126247054,,0.0,318363.86,,496929.0,,1.6751461619808674,,0.0,0.0036697014831496176,,0.004927685379021134,,,,,0.7064925393250845,,0.832894478813467,,,,,1617.51,,2940.0,,1.9080183072187091,,0.0,61375.64,,55010.4,,0.8898279059603965,,0.0
2024-07-03,T-17,Coimbatore,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Dehra Dun,,966150.0,,1503123.0,,1.3576737175470388,,,393240.00000000006,,895654.0,,2.2776268945173426,,,0.007078947368421054,,0.0060108188085738826,,0.8491119506535595,,,0.40701754385964917,,0.5958620818123334,,1.4639714941078878,,,6839.325000000001,,9035.0,,1.3210367982220466,,,84665.25,,127126.224332,,1.501515962357638,
2024-07-03,T-17,Delhi,1912644.59,,2725213.0,,1.4766266128848118,,0.0,1308298.6099999999,,2155935.0,,1.722980271961255,,0.0,0.003802696509640144,,0.00585091880891512,,,,,0.6779936050771109,,0.7911069703542438,,,,,7219.360000000001,,15945.0,,2.271972638671066,,0.0,220064.88,,181026.34,,0.818252829641774,,0.0
2024-07-03,T-17,Durgapur,,315975.3182370616,,584921.0,,1.4727776308997746,,,128607.49794911983,,359755.0,,2.7973096882914836,,,0.007078947368421052,,0.00564520678860906,,0.7974641560116889,,,0.40701754385964917,,0.615048869847381,,1.5111114474698584,,,2236.7726475202517,,3302.0,,1.4762340748670586,,,27689.416045510927,,43946.581464,,1.587125614775279,
2024-07-03,T-17,Gujarat C1,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Guwahati,,443175.0,,846091.0,,2.3656128333275084,,,180380.00000000003,,444170.0,,2.4624126843330743,,,0.007078947368421053,,0.007255720720348048,,1.024971700272215,,,0.40701754385964917,,0.5249671725618167,,1.2897900360354977,,,3137.2125,,6139.0,,1.9568326978169315,,,38836.125,,72332.96118,,1.862517467435281,
2024-07-03,T-17,Hyderabad,885109.1599999999,,1051233.0,,1.252447010843883,,0.0,625721.36,,842513.0,,1.4357255487635154,,0.0,0.003704002765046049,,0.005415545364348341,,,,,0.699142264632991,,0.8014521994648189,,,,,3246.23,,5693.0,,1.8311767117655495,,0.0,116857.76999999999,,77602.83,,0.6595723776439683,,0.0
2024-07-03,T-17,Imphal,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Indore,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Jaipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Kanpur,,43252.86825,,96495.0,,2.848560885608856,,,17604.676199999998,,50234.0,,2.853446404200266,,,0.007078947368421052,,0.006964091403699674,,0.9837749938311808,,,0.40701754385964906,,0.5205865588890616,,1.2790273214084704,,,306.18477787499995,,672.0,,2.194753131307998,,,3790.3171387499997,,7140.667017000001,,1.8839233646171638,
2024-07-03,T-17,Kochi,57670.49,179550.0,136064.0,359544.0,2.359334863301233,6.562019845418734e-06,0.29690725524701267,36661.95,73080.0,112795.0,185548.0,3.0766226193331936,2.5389709906951285,0.8252461562040417,0.004,0.007078947368421053,0.003439557855126999,0.005896357608526356,,0.8329427104981469,,0.6357142857142868,0.4070175438596491,0.8289848894637818,0.5160647931824756,0.6225261759792575,1.2679178108362545,,230.68,1271.025,468.0,2120.0,2.028767190485685,1.667945162368954,0.8221471493580539,4572.4400000000005,15734.25,5056.1,29864.529011,1.10577558383985,1.8980586307577418,1.7164953345837655
2024-07-03,T-17,Kolkata,386709.2,,559454.0,,1.5378299959639319,,0.0,277402.82,,459407.0,,1.781163183577122,,0.0,0.00365806393561181,,0.004733186285199498,,,,,0.7089862995117572,,0.8211702838839297,,,,,1399.53,,2648.0,,1.9898055293687749,,0.0,54033.61,,36586.41,,0.6721313535224805,,0.0
2024-07-03,T-17,Lucknow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Madurai,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Maharashtra C2,,588000.0,,1360640.0,,8.265087319665907,,,349200.0,,888153.0,,2.543393470790378,,,0.0,,0.0,,,,,0.5938775510204082,,0.6527465016462841,,1.0991264117068014,,,0.0,,0.0,,,,,80040.0,,129135.02156899997,,1.6133810790729632,
2024-07-03,T-17,Metros,3821757.1500000004,827925.0,6461505.0,1139450.0,1.7335817606205997,1.5214197732420024e-06,1.004354233173532,1194675.0,336980.00000000006,3557939.0,671621.0,3.192837977296179,1.9930589352483823,0.6242280220358012,0.010314593649868916,0.007078947368421054,0.015334817507685903,0.006546140681907938,,0.9247336279275152,,0.2989732012816777,0.40701754385964917,0.5506362681759126,0.5894256000702093,1.0704445641090692,1.4481577243104278,,38445.15,5860.837500000001,99086.0,7459.0,2.577334680955422,1.272685004489546,0.49379888995159904,361881.68,72552.375,380542.81,100772.67321099999,1.0667801557859018,1.388964499246234,1.3020156887179604
2024-07-03,T-17,Mumbai,1396511.92,,1738466.0,,1.2868046356174343,,0.0,950485.13,,1398316.0,,1.5335853856262218,,0.0,0.0038171017651527704,,0.004748439141173885,,,,,0.6749067646101188,,0.8043389977140767,,,,,5293.4400000000005,,8255.0,,1.6007730143828833,,0.0,157151.27000000002,,157157.3,,0.9950100483286205,,0.0
2024-07-03,T-17,PAN India,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Panjim,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Patna,,156750.0,,300880.0,,1.2337594439717476,,,63800.0,,163298.0,,2.5595297805642634,,,0.007078947368421053,,0.005081760170167509,,0.717869466417715,,,0.4070175438596491,,0.5427346450412125,,1.333442877902979,,,1109.625,,1529.0,,1.3779429987608427,,,13736.25,,25362.243188999997,,1.8463731505323504,
2024-07-03,T-17,Pune,463571.94,,790258.0,,1.7654808201436216,,0.0,316679.01,,641806.0,,2.1173560103287707,,0.0,0.0038064943044826506,,0.004561801335766294,,,,,0.6771797918965756,,0.8121474252712405,,,,,1751.72,,3605.0,,2.115797928323855,,0.0,53029.399999999994,,43832.91,,0.8222608501032259,,0.0
2024-07-03,T-17,Punjab C2,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Ranchi,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Tamil Nadu C2,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Thiruvananthapuram,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,UP C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Varanasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Vizag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,Vijaywada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-03,T-17,"C1, C2 & Metros",,149050.15466538706,,346629.0,,,,,60666.02786380667,,191451.0,,3.155818944167591,,,0.007078947368421054,,0.006436276249246312,,0.9092137452466909,,,0.40701754385964917,,0.5523225119652424,,1.356999275087018,,,1055.1182001312927,,2231.0,,2.1144550437310126,,,13061.50039567734,,24673.469621000004,,1.8890226140609088,
2024-07-03,T-17,"Bhubaneswar, Lucknow",291833.54,221734.1467996448,828569.0,471775.0,2.8391835976084177,6.0180882785404435e-06,0.0,185522.75,90249.68782020631,678978.0,254908.0,3.6598099070411125,2.82447514397859,0.7717546035777921,0.0040000000000000036,0.007078947368421052,0.004037080798340271,0.007465423136028828,,1.0545950898479386,,0.6357142857142843,0.4070175438596491,0.8194586087579911,0.5403168883471994,0.6593583648674194,1.3275026998185502,,1167.34,1569.6443549764329,3345.0,3522.0,2.8655033962168956,2.2438203844289815,0.7830457948126411,23138.23,19430.913390600454,25579.22,36140.6524,1.1054959514076275,1.8599564350630446,1.6824633619822515
2024-07-03,T-17,"Chandigarh,Jaipur",295645.52999999997,100923.35925000001,820734.0,214877.0,2.77607445170004,1.2919365272691074e-05,0.0,187946.09000000003,41077.5778,657257.0,113942.0,3.49705073841606,2.773824702000808,0.7931897217073759,0.004000000000000006,0.007078947368421052,0.004846880962650506,0.0061616645802016964,,0.870421018764552,,0.6357142857142857,0.40701754385964906,0.800816098760378,0.5302661522638533,0.662157208233798,1.3028090809930881,,1182.58,714.431148375,3978.0,1324.0,3.363825602711336,1.8532226695483347,0.5509270956421125,23440.47,8844.073323749999,25915.93,16442.355856000002,1.1056063734636705,1.8591383465631688,1.6815553809976826
2024-07-03,T-17,"Coimbatore, Vizag",136006.18,96732.8475,304876.0,215970.0,2.2416334316572937,1.0379374133709746e-05,0.0,86461.07,39371.966,247043.0,130591.0,2.857274326005879,3.316852402036515,1.1608449254759063,0.003999999999999994,0.007078947368421051,0.0037753053700520867,0.00590359772190582,,0.833965477443945,,0.6357142857142857,0.4070175438596491,0.8103064852595809,0.604671945177571,0.7462262195567457,1.485616417031101,,544.02,684.7667362499999,1151.0,1275.0,2.11571268305602,1.8619479196409348,0.8800570770088983,10783.349999999999,8476.852162500001,12547.33,14368.940560000001,1.1635840128669073,1.6950797636374373,1.456774710629617
2024-07-03,T-17,"Indore,Patna",302100.0,202260.43439999997,923663.0,536058.0,3.057474346242976,5.7036259998787e-06,0.0,192049.29,119686.72806,748062.0,340355.0,3.895156377269222,2.8437154688477833,0.7300645194741648,0.004000000000000019,0.0,0.00423314563861495,0.0,,,,0.6357142857142888,0.5917456294160911,0.8098862896965668,0.6349219673990502,0.7839643360760322,1.0729643546764571,,1208.4,0.0,3910.0,0.0,3.235683548493871,,0.0,23952.21,27493.856471999996,26338.72,44626.197812,1.0996362364171512,1.623133439190233,1.4760639795563186
2024-07-03,T-17,ROC1,2775519.95,279004.57853451895,3167591.0,521041.0,1.1824134586453219,2.269329013734662e-06,0.0,764357.97,113559.75828071649,972798.0,311247.0,1.4258715887089277,2.7408212619703387,1.9222076403472264,0.012989851177587395,0.007078947368421054,0.03114732931113897,0.005143549164077299,,0.7265980231782058,,0.2546727732371179,0.4070175438596491,0.3071097247087771,0.5973560621908832,1.9450900252583598,1.4676420493482907,,34931.07,1975.058726994358,98662.0,2680.0,2.835215036327221,1.3569216769966232,0.47859568308243716,253121.5,24449.61175052495,230705.66999999998,38904.922857,0.9087200382976877,1.5912286564699614,1.7510658832293633
